run_id,batch_id,condition,agent_id,domain,question,gold,answer,exact_match,llm_corrected
gaia_b01_n3_baseline_t03_097afd,gaia_b01_n3,baseline,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_baseline_t03_097afd,gaia_b01_n3,baseline,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_baseline_t03_097afd,gaia_b01_n3,baseline,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_baseline_t03_987523,gaia_b01_n3,baseline,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1816,False,False
gaia_b01_n3_baseline_t03_987523,gaia_b01_n3,baseline,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_baseline_t03_987523,gaia_b01_n3,baseline,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_baseline_t04_045491,gaia_b01_n3,baseline,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_baseline_t04_045491,gaia_b01_n3,baseline,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_baseline_t04_045491,gaia_b01_n3,baseline,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_baseline_t04_371127,gaia_b01_n3,baseline,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_baseline_t04_371127,gaia_b01_n3,baseline,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_baseline_t04_371127,gaia_b01_n3,baseline,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_baseline_t05_1c5126,gaia_b01_n3,baseline,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_baseline_t05_1c5126,gaia_b01_n3,baseline,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_baseline_t05_1c5126,gaia_b01_n3,baseline,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_baseline_t05_7f4b7f,gaia_b01_n3,baseline,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_baseline_t05_7f4b7f,gaia_b01_n3,baseline,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_baseline_t05_7f4b7f,gaia_b01_n3,baseline,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_dacs_t01_606a28,gaia_b01_n3,dacs,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_dacs_t01_606a28,gaia_b01_n3,dacs,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_dacs_t01_606a28,gaia_b01_n3,dacs,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_dacs_t01_f06253,gaia_b01_n3,dacs,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_dacs_t01_f06253,gaia_b01_n3,dacs,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_dacs_t01_f06253,gaia_b01_n3,dacs,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_dacs_t01_fda5a3,gaia_b01_n3,dacs,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_dacs_t01_fda5a3,gaia_b01_n3,dacs,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_dacs_t01_fda5a3,gaia_b01_n3,dacs,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_dacs_t02_2e95d0,gaia_b01_n3,dacs,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_dacs_t02_2e95d0,gaia_b01_n3,dacs,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_dacs_t02_2e95d0,gaia_b01_n3,dacs,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_dacs_t02_a5e6cd,gaia_b01_n3,dacs,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_dacs_t02_a5e6cd,gaia_b01_n3,dacs,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_dacs_t02_a5e6cd,gaia_b01_n3,dacs,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_dacs_t03_0997c8,gaia_b01_n3,dacs,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_dacs_t03_0997c8,gaia_b01_n3,dacs,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_dacs_t03_0997c8,gaia_b01_n3,dacs,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_dacs_t03_90dec6,gaia_b01_n3,dacs,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_dacs_t03_90dec6,gaia_b01_n3,dacs,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_dacs_t03_90dec6,gaia_b01_n3,dacs,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_dacs_t04_c38f9a,gaia_b01_n3,dacs,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_dacs_t04_c38f9a,gaia_b01_n3,dacs,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_dacs_t04_c38f9a,gaia_b01_n3,dacs,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_dacs_t04_e0083a,gaia_b01_n3,dacs,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_dacs_t04_e0083a,gaia_b01_n3,dacs,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_dacs_t04_e0083a,gaia_b01_n3,dacs,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_dacs_t05_91c8b2,gaia_b01_n3,dacs,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_dacs_t05_91c8b2,gaia_b01_n3,dacs,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_dacs_t05_91c8b2,gaia_b01_n3,dacs,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b01_n3_dacs_t05_a92ac4,gaia_b01_n3,dacs,a1,history,In what year was Napoleon Bonaparte exiled to the island of Saint Helena for the final time?,1815,1815,True,False
gaia_b01_n3_dacs_t05_a92ac4,gaia_b01_n3,dacs,a2,science,What is the chemical symbol of the element with atomic number 79?,au,Au,True,False
gaia_b01_n3_dacs_t05_a92ac4,gaia_b01_n3,dacs,a3,maths,What is the smallest prime number greater than 50?,53,53,True,False
gaia_b02_n3_baseline_t01_e61225,gaia_b02_n3,baseline,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_baseline_t01_e61225,gaia_b02_n3,baseline,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_baseline_t01_e61225,gaia_b02_n3,baseline,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,36,False,False
gaia_b02_n3_baseline_t01_e9ac01,gaia_b02_n3,baseline,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_baseline_t01_e9ac01,gaia_b02_n3,baseline,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_baseline_t01_e9ac01,gaia_b02_n3,baseline,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,39,True,False
gaia_b02_n3_baseline_t02_5ed8e2,gaia_b02_n3,baseline,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_baseline_t02_5ed8e2,gaia_b02_n3,baseline,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_baseline_t02_5ed8e2,gaia_b02_n3,baseline,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,39,True,False
gaia_b02_n3_baseline_t02_70fd67,gaia_b02_n3,baseline,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_baseline_t02_70fd67,gaia_b02_n3,baseline,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_baseline_t02_70fd67,gaia_b02_n3,baseline,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,39,True,False
gaia_b02_n3_baseline_t03_2c31a0,gaia_b02_n3,baseline,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_baseline_t03_2c31a0,gaia_b02_n3,baseline,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_baseline_t03_2c31a0,gaia_b02_n3,baseline,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,39,True,False
gaia_b02_n3_baseline_t03_4909ba,gaia_b02_n3,baseline,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_baseline_t03_4909ba,gaia_b02_n3,baseline,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_baseline_t03_4909ba,gaia_b02_n3,baseline,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,39,True,False
gaia_b02_n3_baseline_t04_4490a3,gaia_b02_n3,baseline,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_baseline_t04_4490a3,gaia_b02_n3,baseline,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_baseline_t04_4490a3,gaia_b02_n3,baseline,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,39,True,False
gaia_b02_n3_baseline_t04_f73a0c,gaia_b02_n3,baseline,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_baseline_t04_f73a0c,gaia_b02_n3,baseline,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_baseline_t04_f73a0c,gaia_b02_n3,baseline,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,33,False,False
gaia_b02_n3_baseline_t05_06875a,gaia_b02_n3,baseline,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_baseline_t05_06875a,gaia_b02_n3,baseline,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_baseline_t05_06875a,gaia_b02_n3,baseline,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,39,True,False
gaia_b02_n3_baseline_t05_1c8019,gaia_b02_n3,baseline,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_baseline_t05_1c8019,gaia_b02_n3,baseline,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_baseline_t05_1c8019,gaia_b02_n3,baseline,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,46,False,False
gaia_b02_n3_dacs_t01_0c9759,gaia_b02_n3,dacs,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_dacs_t01_0c9759,gaia_b02_n3,dacs,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_dacs_t01_0c9759,gaia_b02_n3,dacs,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,39,True,False
gaia_b02_n3_dacs_t01_b25eb5,gaia_b02_n3,dacs,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_dacs_t01_b25eb5,gaia_b02_n3,dacs,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_dacs_t01_b25eb5,gaia_b02_n3,dacs,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,46,False,False
gaia_b02_n3_dacs_t02_53626b,gaia_b02_n3,dacs,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_dacs_t02_53626b,gaia_b02_n3,dacs,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_dacs_t02_53626b,gaia_b02_n3,dacs,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,46,False,False
gaia_b02_n3_dacs_t02_690e4d,gaia_b02_n3,dacs,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_dacs_t02_690e4d,gaia_b02_n3,dacs,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_dacs_t02_690e4d,gaia_b02_n3,dacs,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,25,False,False
gaia_b02_n3_dacs_t03_54f4ca,gaia_b02_n3,dacs,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_dacs_t03_54f4ca,gaia_b02_n3,dacs,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_dacs_t03_54f4ca,gaia_b02_n3,dacs,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,39,True,False
gaia_b02_n3_dacs_t03_8bd652,gaia_b02_n3,dacs,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_dacs_t03_8bd652,gaia_b02_n3,dacs,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_dacs_t03_8bd652,gaia_b02_n3,dacs,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,25,False,False
gaia_b02_n3_dacs_t04_e44c4a,gaia_b02_n3,dacs,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_dacs_t04_e44c4a,gaia_b02_n3,dacs,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_dacs_t04_e44c4a,gaia_b02_n3,dacs,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,39,True,False
gaia_b02_n3_dacs_t04_f5fea3,gaia_b02_n3,dacs,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_dacs_t04_f5fea3,gaia_b02_n3,dacs,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_dacs_t04_f5fea3,gaia_b02_n3,dacs,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,39,True,False
gaia_b02_n3_dacs_t05_449dd5,gaia_b02_n3,dacs,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_dacs_t05_449dd5,gaia_b02_n3,dacs,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_dacs_t05_449dd5,gaia_b02_n3,dacs,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,46,False,False
gaia_b02_n3_dacs_t05_d5f11a,gaia_b02_n3,dacs,a1,geography,What is the capital city of Australia?,canberra,Canberra,True,False
gaia_b02_n3_dacs_t05_d5f11a,gaia_b02_n3,dacs,a2,literature,Who wrote the novel '1984'?,george orwell,George Orwell,True,False
gaia_b02_n3_dacs_t05_d5f11a,gaia_b02_n3,dacs,a3,sport,How many gold medals did the United States win at the 2020 Summer Olympics held in Tokyo?,39,46,False,False
gaia_b03_n3_baseline_t01_38c4b5,gaia_b03_n3,baseline,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee,True,False
gaia_b03_n3_baseline_t01_38c4b5,gaia_b03_n3,baseline,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_baseline_t01_38c4b5,gaia_b03_n3,baseline,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_baseline_t01_f56db7,gaia_b03_n3,baseline,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee,True,False
gaia_b03_n3_baseline_t01_f56db7,gaia_b03_n3,baseline,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_baseline_t01_f56db7,gaia_b03_n3,baseline,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_baseline_t02_44c7be,gaia_b03_n3,baseline,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee,True,False
gaia_b03_n3_baseline_t02_44c7be,gaia_b03_n3,baseline,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_baseline_t02_44c7be,gaia_b03_n3,baseline,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_baseline_t02_7fc75a,gaia_b03_n3,baseline,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee,True,False
gaia_b03_n3_baseline_t02_7fc75a,gaia_b03_n3,baseline,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_baseline_t02_7fc75a,gaia_b03_n3,baseline,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_baseline_t03_011438,gaia_b03_n3,baseline,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee,True,False
gaia_b03_n3_baseline_t03_011438,gaia_b03_n3,baseline,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_baseline_t03_011438,gaia_b03_n3,baseline,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_baseline_t03_29cab8,gaia_b03_n3,baseline,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee,True,False
gaia_b03_n3_baseline_t03_29cab8,gaia_b03_n3,baseline,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_baseline_t03_29cab8,gaia_b03_n3,baseline,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_baseline_t04_e3738e,gaia_b03_n3,baseline,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee (with Robert Cailliau as co-developer),True,False
gaia_b03_n3_baseline_t04_e3738e,gaia_b03_n3,baseline,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_baseline_t04_e3738e,gaia_b03_n3,baseline,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_baseline_t04_eb20fa,gaia_b03_n3,baseline,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee,True,False
gaia_b03_n3_baseline_t04_eb20fa,gaia_b03_n3,baseline,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_baseline_t04_eb20fa,gaia_b03_n3,baseline,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_baseline_t05_9d1cbf,gaia_b03_n3,baseline,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee,True,False
gaia_b03_n3_baseline_t05_9d1cbf,gaia_b03_n3,baseline,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_baseline_t05_9d1cbf,gaia_b03_n3,baseline,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_baseline_t05_c2055c,gaia_b03_n3,baseline,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee (with Robert Cailliau),True,False
gaia_b03_n3_baseline_t05_c2055c,gaia_b03_n3,baseline,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_baseline_t05_c2055c,gaia_b03_n3,baseline,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_dacs_t01_71048e,gaia_b03_n3,dacs,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee,True,False
gaia_b03_n3_dacs_t01_71048e,gaia_b03_n3,dacs,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_dacs_t01_71048e,gaia_b03_n3,dacs,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_dacs_t01_b21e7d,gaia_b03_n3,dacs,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee,True,False
gaia_b03_n3_dacs_t01_b21e7d,gaia_b03_n3,dacs,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_dacs_t01_b21e7d,gaia_b03_n3,dacs,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_dacs_t02_2a8c95,gaia_b03_n3,dacs,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee,True,False
gaia_b03_n3_dacs_t02_2a8c95,gaia_b03_n3,dacs,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_dacs_t02_2a8c95,gaia_b03_n3,dacs,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_dacs_t02_cebb67,gaia_b03_n3,dacs,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee,True,False
gaia_b03_n3_dacs_t02_cebb67,gaia_b03_n3,dacs,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_dacs_t02_cebb67,gaia_b03_n3,dacs,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_dacs_t03_c2bd7a,gaia_b03_n3,dacs,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee,True,False
gaia_b03_n3_dacs_t03_c2bd7a,gaia_b03_n3,dacs,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_dacs_t03_c2bd7a,gaia_b03_n3,dacs,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_dacs_t03_d0aa0f,gaia_b03_n3,dacs,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee,True,False
gaia_b03_n3_dacs_t03_d0aa0f,gaia_b03_n3,dacs,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_dacs_t03_d0aa0f,gaia_b03_n3,dacs,a3,film,In what year was the film 'Schindler's List' released?,1993,1994,False,False
gaia_b03_n3_dacs_t04_2cab93,gaia_b03_n3,dacs,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee,True,False
gaia_b03_n3_dacs_t04_2cab93,gaia_b03_n3,dacs,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_dacs_t04_2cab93,gaia_b03_n3,dacs,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_dacs_t04_d49b67,gaia_b03_n3,dacs,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee,True,False
gaia_b03_n3_dacs_t04_d49b67,gaia_b03_n3,dacs,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_dacs_t04_d49b67,gaia_b03_n3,dacs,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_dacs_t05_4157e3,gaia_b03_n3,dacs,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee,True,False
gaia_b03_n3_dacs_t05_4157e3,gaia_b03_n3,dacs,a2,music,Which composer wrote the Four Seasons violin concertos?,antonio vivaldi,Antonio Vivaldi,True,False
gaia_b03_n3_dacs_t05_4157e3,gaia_b03_n3,dacs,a3,film,In what year was the film 'Schindler's List' released?,1993,1993,True,False
gaia_b03_n3_dacs_t05_bd165b,gaia_b03_n3,dacs,a1,technology,Who invented the World Wide Web?,tim berners-lee,Tim Berners-Lee (1989),True,False
